strength_of_noise,iteration,Method,avg_independent_features_statistics,min_independent_features_statistics,max_independent_features_statistics,avg_dependent_features_statistics,min_dependent_features_statistics,max_dependent_features_statistics,top3_selected_features,independent_vs_dependent_avg_statistics_diff_%
0.01,20,Pearson_Correlation_(abs),0.00784953025699787,0.00024330413064139526,0.029637657882717508,0.1710666400871189,0.0030785058061630647,0.5068504686892388,"[0, 1, 2, 5, 8, 9]",2079.32
0.01,20,Mutual_Information,0.003534941265103342,0.0,0.02138116499364795,0.5718308897365239,0.0,1.704585433911288,"[2, 3, 6, 8, 9]",16076.53
0.01,20,Distance_Correlation,0.017926169477309344,0.013544218021280637,0.02988812720404622,0.17972886462611534,0.016530926030605426,0.5047092603031186,"[0, 1, 2, 5, 8, 9]",902.61
0.01,20,Proposed_Method,0.08584247121073031,0.08541435477551561,0.08627173747630053,0.1330342338416293,0.12748807395322542,0.14023763216995322,"[7, 8, 9]",54.97
0.01,21,Pearson_Correlation_(abs),0.008907609794059133,0.00035799919441741686,0.024136003429259707,0.17208694469797803,0.0023147501623426692,0.5003675906123974,"[3, 4, 6, 8, 9]",1831.91
0.01,21,Mutual_Information,0.0014187015575514955,0.0,0.00673062543796199,0.5594898190637213,0.0002493735434345723,1.674328052313693,"[2, 5, 8, 9]",39336.75
0.01,21,Distance_Correlation,0.018033025860177843,0.011817323779917156,0.028291163900183613,0.17851138250579546,0.015976056847782315,0.5003257097987854,"[3, 4, 6, 8, 9]",889.91
0.01,21,Proposed_Method,0.08120338319707386,0.08003733218475857,0.08204807284505564,0.14385877254016108,0.135753538116986,0.15502877763491069,"[7, 8, 9]",77.16
0.01,22,Pearson_Correlation_(abs),0.0068423239031143645,0.00024803654089118317,0.0231495662491222,0.17363937714280286,0.00809994668652244,0.49836148951736997,"[1, 2, 4, 8, 9]",2437.73
0.01,22,Mutual_Information,0.0030464951081783376,0.0,0.018566943334694663,0.5636216480786308,0.0,1.6748863745503453,"[1, 2, 8, 9]",18400.66
0.01,22,Distance_Correlation,0.01683576014311378,0.011596873921645634,0.023414670985310814,0.18240137953019028,0.016622096981549244,0.5069594012013136,"[2, 4, 7, 8, 9]",983.42
